"Field1","Field2","Field3","Field4","Report as of Date","Field5","Field6","GEM Loan Number","GL50185","GL20655"
"","","","","03/09/2015","","","1051410027","361.33","361.33"
"","","","","03/09/2015","","","1051410033","324.4","324.4"
"","","","","03/09/2015","","","1051510009","260.96","260.96"
"","","","","03/09/2015","","","1051510010","288.82","288.82"
"","","","","03/09/2015","","","1051510012","370.7","370.7"
"","","","","03/09/2015","","","1051510013","333.6","333.6"
"","","","","03/09/2015","","","1051510016","192","192"
"","","","","03/09/2015","","","1051510017","469.2","469.2"
"","","","","03/09/2015","","","1051510018","171.15","171.15"
"","","","","03/09/2015","","","1051510023","440","440"
"","","","","03/09/2015","","","1051510025","2850","2850"
"","","","","03/09/2015","","","1051510029","7454.41","7454.41"
"","","","","03/09/2015","","","1051510035","333.6","333.6"
"","","","","03/09/2015","","","1051510039","363","363"
"","","","","03/09/2015","","","1051510040","8173.61","8173.61"
"","","","","03/09/2015","","","1061500003","1107.43","1107.43"
"","","","","03/09/2015","","","1061510020","1116.89","1116.89"
"","","","","03/09/2015","","","1061510124","1374.63","1374.63"
"","","","","03/09/2015","","","1061510125","875","875"
"","","","","03/09/2015","","","1111510012","462.5","462.5"
"","","","","03/09/2015","","","1211410003","1000","1000"
"","","","","03/09/2015","","","1211410009","2730.62","2730.62"
"","","","","03/09/2015","","","1211510013","945","945"
"","","","","03/09/2015","","","1381500003","11725","11725"
"","","","","03/09/2015","","","1381500009","4642.94","4642.94"
"","","","","03/09/2015","","","1381500015","4765.55","4765.55"
"","","","","03/09/2015","","","1381500017","6428.05","6428.05"
"","","","","03/09/2015","","","1381500019","4072.37","4072.37"
"","","","","03/09/2015","","","1381500021","6870.31","6870.31"
"","","","","03/09/2015","","","1381500032","7932.36","7932.36"
"","","","","03/09/2015","","","1381500036","14000","14000"
"","","","","03/09/2015","","","1401400054","350","350"
"","","","","03/09/2015","","","1401510002","350","350"
"","","","","03/09/2015","","","1441400142","1068.9","1068.9"
"","","","","03/09/2015","","","1441400163","2651.08","2651.08"
"","","","","03/09/2015","","","1441500001","1180.56","1180.56"
"","","","","03/09/2015","","","1441500004","3407.12","3407.12"
"","","","","03/09/2015","","","1441500007","910.38","910.38"
"","","","","03/09/2015","","","1441500011","1276.45","1276.45"
"","","","","03/09/2015","","","1441500015","893.16","893.16"
"","","","","03/09/2015","","","1481410021","1406.25","1406.25"
"","","","","03/09/2015","","","1481410022","1878.75","1878.75"
"","","","","03/09/2015","","","1481410026","1217.83","1217.83"
"","","","","03/09/2015","","","1481500005","2711.76","2711.76"
"","","","","03/09/2015","","","1481510002","3060","3060"
"","","","","03/09/2015","","","1481510022","2535","2535"
"","","","","03/09/2015","","","1481510023","2483.32","2483.32"
"","","","","03/09/2015","","","1481510029","4122.48","4122.48"
"","","","","03/09/2015","","","1481510031","2022.34","2022.34"
"","","","","03/09/2015","","","1481510032","1380","1380"
"","","","","03/09/2015","","","1481510040","1804.21","1804.21"
"","","","","03/09/2015","","","1481510052","2592.55","2592.55"
"","","","","03/09/2015","","","1481510053","750","750"
"","","","","03/09/2015","","","1481510055","2985.56","2985.56"
"","","","","03/09/2015","","","1481510057","2266.72","2266.72"
"","","","","03/09/2015","","","1481510059","2295","2295"
"","","","","03/09/2015","","","1481510065","1460.55","1460.55"
"","","","","03/09/2015","","","1481510075","2701.16","2701.16"
"","","","","03/09/2015","","","1481510076","2059.61","2059.61"
"","","","","03/09/2015","","","1481510091","5356.25","5356.25"
"","","","","03/09/2015","","","1591410230","400","400"
"","","","","03/09/2015","","","1591410327","500","500"
"","","","","03/09/2015","","","1591410422","500","500"
"","","","","03/09/2015","","","1591510015","800","800"
"","","","","03/09/2015","","","1591510047","1494.92","1494.92"
"","","","","03/09/2015","","","1591510061","1399.13","1399.13"
"","","","","03/09/2015","","","1591510067","500","500"
"","","","","03/09/2015","","","1591510097","400","400"
"","","","","03/09/2015","","","1591510098","3612.5","3612.5"
"","","","","03/09/2015","","","1591510122","1329.96","1329.96"
"","","","","03/09/2015","","","1601400360","6014.05","6014.05"
"","","","","03/09/2015","","","1601410054","6088.48","6088.48"
"","","","","03/09/2015","","","1601410068","3762.5","3762.5"
"","","","","03/09/2015","","","1601410088","4482.9","4482.9"
"","","","","03/09/2015","","","1671500005","2242.32","2242.32"
"","","","","03/09/2015","","","1671500008","1705.48","1705.48"
"","","","","03/09/2015","","","1671500009","853.13","853.13"
"","","","","03/09/2015","","","1671500011","656.25","656.25"
"","","","","03/09/2015","","","1671500024","1629.27","1629.27"
"","","","","03/09/2015","","","1681400109","550","550"
"","","","","03/09/2015","","","1681500001","253.5","253.5"
"","","","","03/09/2015","","","1681500004","521.25","521.25"
"","","","","03/09/2015","","","1681500007","2344","2344"
"","","","","03/09/2015","","","1681500022","3165","3165"
"","","","","03/09/2015","","","1761410014","4111.65","4111.65"
"","","","","03/09/2015","","","1821400156","3333.51","3333.51"
"","","","","03/09/2015","","","1821400201","3375","3375"
"","","","","03/09/2015","","","1821500002","900","900"
"","","","","03/09/2015","","","1921400324","2945.66","2945.66"
"","","","","03/09/2015","","","1921410006","5376","5376"
"","","","","03/09/2015","","","1921410037","3645","3645"
"","","","","03/09/2015","","","1921410058","4377.6","4377.6"
"","","","","03/09/2015","","","1921410074","5250.3","5250.3"
"","","","","03/09/2015","","","1921510000","3641.32","3641.32"
"","","","","03/09/2015","","","1921510005","1252","1252"
"","","","","03/09/2015","","","1921510012","2747.25","2747.25"
"","","","","03/09/2015","","","1921510027","3660","3660"
"","","","","03/09/2015","","","1921510033","4222.1","4222.1"
"","","","","03/09/2015","","","1921510039","2580","2580"
"","","","","03/09/2015","","","1921510055","4120.88","4120.88"
"","","","","03/09/2015","","","1921510059","1823.84","1823.84"
"","","","","03/09/2015","","","1921510064","1425","1425"
"","","","","03/09/2015","","","1921510089","1082.38","1082.38"
"","","","","03/09/2015","","","2501500001","5587.08","5587.08"
"","","","","03/09/2015","","","2501510005","2188.56","2188.56"
"","","","","03/09/2015","","","2501510009","5034.48","5034.48"
"","","","","03/09/2015","","","2501510014","3077","3077"
"","","","","03/09/2015","","","2501510025","9776.87","9776.87"
"","","","","03/09/2015","","","2561410000","4224.75","4224.75"
"","","","","03/09/2015","","","2571500001","2344.32","2344.32"
"","","","","03/09/2015","","","2571500002","2042.32","2042.32"
"","","","","03/09/2015","","","2571500004","1838.7","1838.7"
"","","","","03/09/2015","","","2591410018","2012.87","2012.87"
"","","","","03/09/2015","","","2591510012","1120","1120"
"","","","","03/09/2015","","","2591510016","1710.75","1710.75"
"","","","","03/09/2015","","","2611500001","3099.5","3099.5"
"","","","","03/09/2015","","","3021500004","2200","2200"
"","","","","03/09/2015","","","3021500005","1756.25","1756.25"
"","","","","03/09/2015","","","3021500006","3150","3150"
"","","","","03/09/2015","","","3021500007","1455.46","1455.46"
"","","","","03/09/2015","","","3031500001","4995","4995"
